timestamp,encoder_distance,yaw_true
1749312577.2187333,8.404328013873785,-1.5614243745803833
1749312577.3277256,8.404332981937756,-1.5614272356033325
1749312577.3611386,8.404332981937756,-1.561425805091858
1749312577.3951411,8.406106607449734,-1.5611863136291504
1749312577.4285424,8.414664230359747,-1.5621235370635986
1749312577.4619663,8.423447785481553,-1.5634783506393433
1749312577.4954014,8.430181611486594,-1.564401626586914
1749312577.528814,8.439915993322998,-1.5648316144943237
1749312577.562219,8.45411533564904,-1.5659997463226318
1749312577.5956206,8.461133964561382,-1.567047119140625
1749312577.6290498,8.475260361592257,-1.5676648616790771
1749312577.6624541,8.485891264710252,-1.5681995153427124
1749312577.6958582,8.49653402822566,-1.5691136121749878
1749312577.7292547,8.506828793654556,-1.5701161623001099
1749312577.7629383,8.517839906662061,-1.5709623098373413
1749312577.7973063,8.528499667033355,-1.5715489387512207
1749312577.8308659,8.53169689751894,-1.5717772245407104
1749312577.864957,8.535604638130273,-1.5721137523651123
1749312577.8983643,8.546262679921712,-1.5729930400848389
1749312577.9317603,8.560475769401197,-1.5739835500717163
1749312577.9651616,8.571136776691937,-1.5745147466659546
1749312577.9987147,8.581441614028806,-1.5749725103378296
1749312578.0321395,8.592455759349242,-1.5757572650909424
1749312578.0655503,8.602760672834387,-1.5761195421218872
1749312578.09895,8.613418305821616,-1.576872706413269
1749312578.132374,8.624431728786282,-1.5775182247161865
1749312578.166729,8.635089983614565,-1.5781558752059937
1749312578.2001216,8.645747974857862,-1.5784671306610107
1749312578.2335362,8.659603441339764,-1.5788908004760742
1749312578.2670631,8.667062535513207,-1.5795245170593262
1749312578.3004928,8.681628415305187,-1.5796531438827515
1749312578.3339593,8.691931049695865,-1.579748511314392
1749312578.367518,8.70223268889127,-1.580182671546936
1749312578.4009638,8.713245159105346,-1.5804412364959717
1749312578.434367,8.723902337770323,-1.5806186199188232
1749312578.4681442,8.734558275838378,-1.5812654495239258
1749312578.5015142,8.745214641557679,-1.5814701318740845
1749312578.5349278,8.755515888188912,-1.5817872285842896
1749312578.568349,8.766172265250802,-1.5816686153411865
1749312578.6017156,8.776827904343229,-1.5820118188858032
1749312578.6351833,8.791392200825754,-1.5822069644927979
1749312578.6686926,8.802048465907145,-1.5817084312438965
1749312578.7020688,8.812706119218314,-1.5818439722061157
1749312578.7355368,8.827271220582546,-1.5819422006607056
1749312578.7689486,8.834021080530812,-1.5818456411361694
1749312578.8023605,8.848229528409412,-1.5822341442108154
1749312578.835813,8.858531242030626,-1.582180380821228
1749312578.8692439,8.86599071986988,-1.5820481777191162
1749312578.9026515,8.876647393681859,-1.5821986198425293
